
📡央卫频道,#genre#
CGTN法语,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CGTN-FRANCAIS

CGTN阿语,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CGTN_A

CETV1,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CETV-1-HQ

CETV2,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CETV-2

CETV3,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CETV-3

CETV4,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CETV-4

广东卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_GUANGDONG-CQ

江苏卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_JIANGSU-CQ

浙江卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_ZHEJIANG-CQ

湖南卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_HUNAN-CQ

东方卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_DONGFANG-CQ

北京卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_BEIJING-CQ

深圳卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_SHENZHEN-CQ

辽宁卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_LIAONING-CQ

安徽卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_ANHUI-CQ

山东卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_SHANDONG-CQ

黑龙江卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_HEILONGJIANG-CQ

天津卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_TIANJIN-CQ

广西卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_GUANGXI-HQ

东南卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_DONGNAN-CQ

甘肃卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_GANSU-HQ

贵州卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_GUIZHOU-CQ

海南卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_HAINAN-HQ

河北卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_HEBEI-CQ

河南卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_HENAN-CQ

湖北卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_HUBEI-CQ

吉林卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_JILIN-CQ

江西卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_JIANGXI-CQ

康巴卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_KANGBA

安多卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_ANDUO

兵团卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_BINGTUAN

内蒙古卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_NEIMENGGU

宁夏卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_NINGXIA

农林卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_NONGLIN

三沙卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_SANSHA-HQ

山西卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_SHANXI-HQ

四川卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_SICHUAN-CQ

西藏卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_XIZANG

新疆卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_XINJIANG

延边卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_YANBIAN

云南卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_YUNNAN-CQ

重庆卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CHONGQING-CQ

青海卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_QINGHAI

厦门卫视,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_XIAMEN

上海纪实,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_SHANGHAIJS-HD

北京纪实,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_BEIJINGJS-CQ

家庭理财,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_JIATINGLC

金鹰卡通,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_JINYING

卡酷少儿,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_KAKU

女性时尚,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_NVXINGSS-CQ

炫动卡通,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_XUANDONG

优漫卡通,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_YOUMAN

中华美食,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_ZHONGHUAMS

嘉佳卡通,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_JIAJIA

发现之旅,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_FAXIANZL

老故事,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_LAOGUSHI

徐闻综合,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=zanjiang01

梅州综合,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=meizhou1

客家生活,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=meizhou2

广东国际大厦,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_GUANGDONGGJ

广东电视中心,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_GUANGDONGDS
CCTV1,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-1-HD-265-5M

CCTV1,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-1-AVS-4K264

CCTV2,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-2-HD-265-8M

CCTV3,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-3-HD-265-8M

CCTV3,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-3-AVS-4K264

CCTV4,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-4-HD-265-8M

CCTV4K,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-4K-HD

CCTV5,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-5-HD-265-5M

CCTV5,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-5-AVS-4K264

CCTV5+,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-5PLUS-HD-265-5M

CCTV6,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-6-HD-265-8M

CCTV6,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-6-AVS-4K264

CCTV7,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-7-HQ

CCTV8,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-8-HD-265-5M

CCTV8,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-8-AVS-4K264

CCTV9,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-9

CCTV10,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-10-HQ

CCTV11,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-11-HQ

CCTV12,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-8000k-1080P-cctv12

CCTV13,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-13-HQ

CCTV14,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-8000k-1080P-cctv14

CCTV15,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-15

CCTV16,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-16-CQ

CCTV16(4K,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-16-4K

CCTV17,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-17-HD

CCTV怀旧剧场,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_HUAIJIUJC-CQ

CCTV风云足球,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_FENGSHANGZQ-CQ

CCTV风云音乐,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_FENGYUNYY-CQ

CCTV风云剧场,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_FENGYUNJC-CQ

CCTV央视台球,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_TAIQIU-CQ

CCTV世界地理,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_SHIJIEDL-CQ

CCTV兵器科技,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_BINGQIKJ-CQ

CCTV女性时尚,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_NVXINGSS-CQ

CCTV高尔网球,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-GOLF-CQ

CCTV央视文化,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-WENHUA-CQ

CCTV电视指南,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_DIANSHIZN-CQ

CGTN,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-NEWS

早期教育,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CETV-ZQJY-CQ

CETV-1,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CETV-1

CETV-2,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CETV-2

CETV-3,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CETV-3

CETV-4,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CETV-4

江苏卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_JIANGSU-HD-265-5M

湖南卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_HUNAN-HD-265-8M

浙江卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_ZHEJIANG-HD-265-8M

东方卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_DONGFANG-HD-265-8M

北京卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_BEIJING-HD-265-8M

安徽卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_ANHUI-HD-265-8M

广东卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_GUANGDONG-HQ

黑龙江卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_HEILONGJIANG-HQ

湖北卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_HUBEI-HD-265-8M

辽宁卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=7ug73p2tj7ecw9a9

山东卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_SHANDONG-HQ

深圳卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_SHENZHEN-HQ

天津卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_TIANJIN-HD-265-5M

甘肃卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_GANSU

重庆卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-8000k-1080P-chongqingstv

广西卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GXWS

贵州卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_GUIZHOU

海南卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=LYWS

河北卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_HEBEI

河南卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HENAN

吉林卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_JILIN

江西卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=JXWS

内蒙古卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_NEIMENGGU

宁夏卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_NINGXIA

山西卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=SXWS

陕西卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_SHANXI

四川卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=SCWS

西藏卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_XIZANG

新疆卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_XINJIANG

青海卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_QINGHAI

厦门卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_XIAMEN

云南卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_YUNNAN

安多卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_ANDUO

兵团卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_BINGTUAN

东南卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=DNWS

康巴卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_KANGBA

农林卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_NONGLIN

延边卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_YANBIAN

纯享4K,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-20M-2160P-chunxiang4k

第一剧场,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_DIYIJC-CQ

欢笑剧场4K,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-15M-2160P-jshuanxiaojc

黑莓电影,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-8000k-1080P-Supermovie

影视剧场,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-1

第一院线,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-2

高分电影,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-14

美食美味,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-17

动物世界,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-19

奥特曼,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-9

熊出没,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-10

汪汪队,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-13

超级飞侠,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-11

小猪佩奇,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-12

金鹰卡通,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_JINYING

炫动卡通,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_XUANDONG

嘉佳卡通,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_JIAJIA

优漫卡通,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_YOUMAN

卡酷少儿,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_KAKU

篮球,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_LANQIU

老故事,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_LAOGUSHI

发现之旅,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_FAXIANZL

家庭理财,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_JIATINGLC

炫舞未来,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-4000k-1080P-xwwl

睛彩篮球,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-8000k-1080P-miguaoyun1

睛彩竞技,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-8000k-1080P-miguaoyun2

睛彩青少,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-8000k-1080P-quanminrl


北京纪实,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-8000k-1080P-beijingjishi

上海纪实,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=H265-5500k-1080P-shanghaijishi

山东教育,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_SDETV

江苏城市,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_JSCS

江苏公共,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_JSGG

江苏教育,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_JSJY

江苏体育,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_JSTY

江苏影视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_JSYS

江苏综艺,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_JSZY

南京新闻,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_NJXW

南京影视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_NJYS

南京少儿,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_NJSE

南京生活,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_NJSH

南京信息,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_NJXX

南京娱乐,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_NJYL

南京教科,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_NJJK

南京十八,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_NJSB

徐州新闻,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=xzxwzh

徐州经济,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=xzjjsh

徐州影视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=xzwyys

徐州公共,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=xzgg

徐州新沂,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_XZXYTV-3

沛县新闻,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=xzpxxwzh

沛县综艺,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=xzpxzy

沛县生活,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=xzpxsh

泰州一套,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_TAIZHOUTV-1

泰州二套,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_TAIZHOUTV-2

泰州三套,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_TAIZHOUTV-3

连云港新闻,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=jslygxinwenzh

连云港公共,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=jslyggonggongpd

东海新闻,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=jsdonghaixinwen

东海文娱,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=jsdonghaiwenyu

常州新闻,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=jsczxinwen

常州都市,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=jsczdushi

常州生活,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=jsczshenghuo

常州公共,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=jsczgonggong

睢宁综合,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=xzsnzh

睢宁资讯,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=xzsnzx

睢宁生活,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=xzsnshjy

睢宁三农,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=xzsnsn

南通一套,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=jsntyitao

南通二套,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=jsntertao

铜山一套,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_TONGSHAN-1

铜山二套,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_TONGSHAN-2

铜山三套,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_TONGSHAN-3

铜山四套,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_TONGSHAN-4

盐城一套,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_YANCHENGTV-1

盐城二套,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_YANCHENGTV-2

盐城三套,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_YANCHENGTV-3

公共崇川,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=jsntsantao

宝应新闻,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_BAOYINGXW

宝应生活,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_BAOYINGSH

江都频道,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_YANGZHOUJD

镇江一套,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_ZHENJIANGTV-1

镇江二套,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_ZHENJIANGTV-2

镇江三套,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_ZHENJIANGTV-3

宿迁综合,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_SQZH

宿迁公共,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_SQGG

邳州综合,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=pzzonghe

邳州综艺,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=pzzongyi

